Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD11A1_006_Line_Y_1km,MOD11A1_006_Sample_X_1km,MOD11A1_006_LST_Day_1km,MOD11A1_006_QC_Day,MOD11A1_006_QC_Day_bitmask,MOD11A1_006_QC_Day_MODLAND,MOD11A1_006_QC_Day_MODLAND_Description,MOD11A1_006_QC_Day_Data_Quality_flag,MOD11A1_006_QC_Day_Data_Quality_flag_Description,MOD11A1_006_QC_Day_Emis_Error_flag,MOD11A1_006_QC_Day_Emis_Error_flag_Description,MOD11A1_006_QC_Day_LST_Error_Flag,MOD11A1_006_QC_Day_LST_Error_Flag_Description
0.748917749,ELKBR069,44.31722,-90.54949,2015-12-24,h11v04,681,625,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
0.748917749,ELKBR069,44.31722,-90.54949,2015-12-25,h11v04,681,625,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
0.748917749,ELKBR069,44.31722,-90.54949,2015-12-26,h11v04,681,625,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
0.748917749,ELKBR069,44.31722,-90.54949,2015-12-27,h11v04,681,625,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
0.748917749,ELKBR069,44.31722,-90.54949,2015-12-28,h11v04,681,625,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
0.748917749,ELKBR069,44.31722,-90.54949,2015-12-29,h11v04,681,625,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
0.748917749,ELKBR069,44.31722,-90.54949,2015-12-30,h11v04,681,625,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
0.748917749,ELKBR069,44.31722,-90.54949,2015-12-31,h11v04,681,625,266.2,73,0b01001001,0b01,"LST produced, other quality, recommend examination of more detailed QA",0b10,TBD,0b00,Average emissivity error <= 0.01,0b01,Average LST error <= 2K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-01,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-02,h11v04,688,614,268.24,0,0b00000000,0b00,"LST produced, good quality, not necessary to examine more detailed QA",0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-03,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-04,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-05,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-06,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-07,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-08,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-09,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-10,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
1.765217391,ELKBR171,44.26646,-90.59978,2015-01-11,h11v04,688,614,0.0,2,0b00000010,0b10,LST not produced due to cloud effects,0b00,Good data quality,0b00,Average emissivity error <= 0.01,0b00,Average LST error <= 1K
